Course ID,Cource Chinese Name,Course English Name,Teacher Chinese Name,Teacher English Name,Max Student Number,GPA,Standard Deviation
11110BMES215100 有機化學一,Organic,Chemistry (I) 	,"俞鐘山 YU, CHUNG-SHAN",47,68.57,20.11
11110BMES312101 生醫電子與儀器實驗,Biomedical,Electronics and Instrumentation Laboratory 	,"王廷瑋 WANG, TING-WEI",8,84.38,5.94
11110BMES312102 生醫電子與儀器實驗,Biomedical,Electronics and Instrumentation Laboratory 	,"陳之碩 CHEN, CHI-SHUO",25,88.28,2.20
11110BMES316100 生物化學一,Biochemistry,I 	,"邱信程 CHIU, HSIN-CHENG",41,75.49,21.35
11110BMES318100 專題研究一,Research,on special topics 	,"指導教授 ",22,4.18,0.15
11110BMES323100 數值方法,Numerical,Methods 	,"劉耕谷 LIU, KENG-KU",14,85.29,9.72
11110BMES327200 生醫材料,Biomedical,Materials 	,"胡尚秀 HU, SHANG-HSIU",17,84.94,19.49
11110BMES332100 儀器分析,Instrumental,Analysis 	,"李亦淇 LEE, I-CHI",13,86.54,6.85
11110BMES337100 物理化學一,Physical,Chemistry (I) 	,"吳劍侯 WU, CHIEN-HOU",19,76.95,10.59
11110BMES343100 醫學儀器,Medical,Instrumentation 	,"彭旭霞 PENG, HSU-HSIA",10,82.50,8.81
11110BMES411100 書報討論,Seminar,	,"林曉均 Lin, Hsiao Chun",23,3.95,0.64
11110BMES418100 專題研究三,Undergraduate,Research (III) 	,"指導教授 ",22,4.10,0.26
11110BMES420200 放射化學,Radiochemistry,	,"張智偉 CHANG, CHIH-WEI",15,63.87,32.99
11110BMES423100 分子細胞生物學,Molecular,and Cellular Biology 	,"張建文 CHANG, CHIEN-WEN",21,79.14,20.21
11110BMES433100 全球能源短缺衝擊,Impact,of Global Energy Shortage 	,"鍾堅 CHUNG, CHIEN",93,80.38,8.76
11110BMES441100 臨床醫學影像概論,Introduction,of medical imaging 	,"楊菁華 YANG, CHIN-HUA",35,86.60,6.60
11110BMES441200 放射物理,Radiation,Physics 	,"許芳裕 HSU, FANG-YUH",29,87.21,8.40
11110BMES441300 臨床醫學總論,Clinical,Medicine 	,"沈名吟 SHEN, MING-YIN",41,91.78,2.40
