Course ID,Cource Chinese Name,Course English Name,Teacher Chinese Name,Teacher English Name,Max Student Number,GPA,Standard Deviation
11110ESS 534100,電漿實驗與實驗設計方法,Plasma Laboratory and Experiment Design Methods 	,"柳克強 LEOU, KEH-CHYANG",42,89.45,1.37
11110ESS 549000,計算熱流學,Computational Fluid Dynamics and Heat Transfer 	,"林洸銓 LIN, KUANG-CHUAN",11,3.55,0.58
11110ESS 552800,材料分析與檢測,Inspection and Analysis for Materials 	,"陳健群 CHEN, CHEIN-CHUN",57,72.82,4.88
11110ESS 553500,材料動力學,Kinetic Process of Materials 	,"朱鵬維 CHU, PENG-WEI",25,3.59,0.69
11110ESS 554500,同調光及電子繞射顯微術,Coherent X-ray and Electron Diffraction Microscopy 	,"陳健群 CHEN, CHEIN-CHUN",13,82.31,12.50
11110ESS 556500,電子薄膜科技,Electronic Thin Film 	,"歐陽汎怡 OU YANG, FAN-YI",64,81.53,8.53
11110ESS 558500,第一原理材料計算,First-principles simulations of materials 	,"陳馨怡 CHEN, HSIN-YI",12,3.93,0.33
11110ESS 564400,同步加速器X光吸收光譜分析應用,Applications of Synchrotron X-ray Absorption Spectroscopy 	,"陳燦耀 CHEN, TSAN-YAO",13,92.08,4.81
11110ESS 581000,高等微系統製造與實驗,Advanced Micro System Fabrication and Lab 	,"曾繁根 TSENG, FAN-GANG",30,84.07,6.26
11110ESS 582200,分子動力學模擬,Molecular Dynamics Simulations 	,"蕭百沂 HSIAO, PAI-YI",8,4.00,0.21
11110ESS 584700,生化分析與實驗,Bioanalytical Chemistry：Basic Principles and Lab Projects 	,"王本誠 WANG, PEN-CHENG, 楊重熙 YANG, CHUNG-SHI",14,91.57,5.45
11110ESS 585000,微系統設計,Micro System Design 	,"曾繁根 TSENG, FAN-GANG, 古莫卡 GOUDAR VENKANAGOUDA",25,87.56,8.62
11110ESS 643000,雙相流與沸騰熱傳,Two-Phase Flow & Boiling Heat Transfer 	,"馮玉明 FERNG, YUH-MING",28,81.54,7.12
11110EST 710100,博士班專題研究一,PhD Graduate Research (I) 	,"指導教授 ",3,4.30,0.00
11110FL 100300,語言學概論,Introduction to Linguistics 	,"蘇怡如 SU, I-RU",53,74.85,11.29
11110FL 100500,西洋文學概論一,Introduction to Western Literature I 	,"吳建亨 WU, CHIEN-HENG",64,80.02,8.73
11110FL 101001,英文一,English I 	,"楊梵孛 YANG, FAN-PEI",18,4.08,0.17
11110FL 101002,英文一,English I 	,"張銪容 CHANG, YU-JUNG",17,3.85,0.40
11110FL 101003,英文一,English I 	,"陳宗穎 CHEN, TSUNG-YING",10,3.26,1.25
11110FL 102801,進階英文：閱讀與討論,Advanced English: Reading and Discussion 	,"秦震宇 CHIN, CHEN-YU",6,3.80,0.14
11110FL 102802,進階英文：閱讀與討論,Advanced English: Reading and Discussion 	,"呂文仁 LIU, WEN-REN",21,82.43,7.12
11110FL 102803,進階英文：閱讀與討論,Advanced English: Reading and Discussion 	,"郭詩芝 KUO, SHIH-CHIH",15,81.00,5.50
11110FL 102804,進階英文：閱讀與討論,Advanced English: Reading and Discussion 	,"林雅瓊 LIM, NGA-KHING",16,88.13,3.71
11110FL 102805,進階英文：閱讀與討論,Advanced English: Reading and Discussion 	,"鄺粵敏 KWONG, YUET MAN",11,87.55,8.90
11110FL 102806,進階英文：聽講,Advanced English: Listening and Speaking 	,"鄺粵敏 KWONG, YUET MAN",22,87.00,5.80
11110FL 102807,進階英文：聽講,Advanced English: Listening and Speaking 	,"郭詩芝 KUO, SHIH-CHIH",18,81.83,4.59
11110FL 102809,進階英文：聽講,Advanced English: Listening and Speaking 	,"詹智婷 CHAN, CHIH-TING",20,86.40,5.74
11110FL 102811,進階英文：聽講,Advanced English: Listening and Speaking 	,"周寶齡 ",24,3.88,0.88
11110FL 103500,文學作品讀法一,Introduction to Literature I 	,"黃仕宜 HUANG, SHIH-YI",58,75.86,8.44
11110FL 104101,英語聽講一,English Listening and Speaking I 	,"張寶玉 VIPHAVEE VONGPUMIVITCH",29,3.91,0.25
11110FL 104102,英語聽講一,English Listening and Speaking I 	,"許淳潔 HSU, CHUN-CHIEH",29,83.48,8.36
11110FL 200901,閱讀與寫作一(上),Reading & Writing I (1) 	,"林惠芬 LIN, HUI-FEN",17,85.41,7.19
11110FL 200902,閱讀與寫作一(上),Reading & Writing I (1) 	,"張寶玉 VIPHAVEE VONGPUMIVITCH",17,3.72,0.34
11110FL 200903,閱讀與寫作一(上),Reading & Writing I (1) 	,"陳皇華 CHEN, HUANG-HUA",18,4.12,0.15
11110FL 201101,初級日語一,Beginning Japanese I 	,"簡嘉菁 CHIEN, CHIA-CHING",25,4.17,0.17
11110FL 201102,初級日語一,Beginning Japanese I 	,"張鈞竹 CHANG,CHUN-CHU",34,3.59,0.97
11110FL 201103,初級日語一,Beginning Japanese I 	,"陳國卿 CHEN, KUO-CHING",39,91.46,7.53
11110FL 201104,初級日語一,Beginning Japanese I 	,"周雅玲 CHOU, YA-LING",40,85.15,10.52
11110FL 201105,初級日語一,Beginning Japanese I 	,"周雅玲 CHOU, YA-LING",31,86.42,8.75
11110FL 201106,初級日語一,Beginning Japanese I 	,"楊漫恩 YANG, MAN-EN",42,86.24,13.93
11110FL 201107,初級日語一,Beginning Japanese I 	,"周雅玲 CHOU, YA-LING",36,84.78,10.85
11110FL 201108,初級日語一,Beginning Japanese I 	,"張鈞竹 CHANG,CHUN-CHU",41,3.91,0.53
11110FL 201109,初級日語一,Beginning Japanese I 	,"王瑋婷 WANG, WEI-TING",41,86.41,12.49
11110FL 201110,初級日語一,Beginning Japanese I 	,"簡嘉菁 CHIEN, CHIA-CHING",40,87.08,14.93
11110FL 201111,初級日語一,Beginning Japanese I 	,"王瑋婷 WANG, WEI-TING",41,91.00,12.40
11110FL 201112,初級日語一,Beginning Japanese I 	,"張嘉芬 CHANG, CHIA-FEN",40,4.12,0.23
11110FL 201113,初級日語一,Beginning Japanese I 	,"周雅玲 CHOU, YA-LING",34,81.15,9.58
11110FL 201114,初級日語一,Beginning Japanese I 	,"陳曉貞 CHEN, HSIAO-CHEN",39,91.00,6.18
11110FL 201115,初級日語一,Beginning Japanese I 	,"王瑋婷 WANG, WEI-TING",39,89.72,8.92
11110FL 201116,初級日語一,Beginning Japanese I 	,"張嘉芬 CHANG, CHIA-FEN",41,4.06,0.32
11110FL 201117,初級日語一,Beginning Japanese I 	,"陳曉貞 CHEN, HSIAO-CHEN",40,91.40,7.33
11110FL 201118,初級日語一,Beginning Japanese I 	,"王瑋婷 WANG, WEI-TING",38,89.11,8.85
11110FL 201119,初級日語一,Beginning Japanese I 	,"李蕙如 LEE,HUI-JU",39,86.97,10.60
11110FL 201120,初級日語一,Beginning Japanese I 	,"簡嘉菁 CHIEN, CHIA-CHING",38,86.92,16.63
11110FL 201121,初級日語一,Beginning Japanese I 	,"簡嘉菁 CHIEN, CHIA-CHING",41,90.37,6.70
11110FL 201301,初級西班牙語一,Beginning Spanish I 	,"張雅鈴 CHANG, YEA-LING",11,3.86,0.66
11110FL 201302,初級西班牙語一,Beginning Spanish I 	,"張雅鈴 CHANG, YEA-LING",37,3.70,0.69
11110FL 201303,初級西班牙語一,Beginning Spanish I 	,"張雅鈴 CHANG, YEA-LING",25,3.66,0.68
11110FL 201304,初級西班牙語一,Beginning Spanish I 	,"張雅鈴 CHANG, YEA-LING",29,3.47,1.04
11110FL 201305,初級西班牙語一,Beginning Spanish I 	,"張雅鈴 CHANG, YEA-LING",32,3.34,1.19
11110FL 201306,初級西班牙語一,Beginning Spanish I 	,"張雅鈴 CHANG, YEA-LING",27,3.61,0.98
11110FL 201307,初級西班牙語一,Beginning Spanish I 	,"鄭雲英 CHENG, YUN-YING",19,82.58,20.23
11110FL 201501,初級法語一,Beginning French I 	,"張月琴 CHANG, YUEH-CHIN",12,3.38,0.74
11110FL 201502,初級法語一,Beginning French I 	,"徐琿輝 HSU, HUN-HUI",16,92.75,4.64
11110FL 201503,初級法語一,Beginning French I 	,"廖含潔 LIAO, HAN-CHIEH",41,86.78,4.85
11110FL 201504,初級法語一,Beginning French I 	,"廖含潔 LIAO, HAN-CHIEH",39,84.74,9.81
11110FL 201505,初級法語一,Beginning French I 	,"廖含潔 LIAO, HAN-CHIEH",37,87.68,5.87
11110FL 201506,初級法語一,Beginning French I 	,"石秋燕 SHIH, CHIU-YEN",26,88.04,10.50
11110FL 201508,初級法語一,Beginning French I 	,"洪筱婷 HUNG, SHIAU-TING",12,3.69,0.60
11110FL 201509,初級法語一,Beginning French I 	,"洪筱婷 HUNG, SHIAU-TING",14,3.39,1.03
11110FL 202800,當代文學,Contemporary Literature 	,"李書雨 LEE, SHU-YU",30,3.88,0.34
11110FL 203700,句法學,Syntax 	,"許淳潔 HSU, CHUN-CHIEH",14,76.57,18.09
11110FL 203901,英語口語訓練一,English Oral Practice(I) 	,"黃仕宜 HUANG, SHIH-YI",15,81.73,8.58
11110FL 203902,英語口語訓練一,English Oral Practice(I) 	,"張銪容 CHANG, YU-JUNG",14,4.01,0.39
11110FL 203903,英語口語訓練一,English Oral Practice(I) 	,"黃虹慈 HUANG, HUNG-TZU",20,4.24,0.12
11110FL 204101,初級德語一,Beginning German I 	,"郭春長 KUO, CHUN-CHANG",15,85.00,9.15
11110FL 204102,初級德語一,Beginning German I 	,"郭春長 KUO, CHUN-CHANG",16,88.75,5.41
11110FL 204103,初級德語一,Beginning German I 	,"郭春長 KUO, CHUN-CHANG",15,87.33,5.40
11110FL 204104,初級德語一,Beginning German I 	,"郭春長 KUO, CHUN-CHANG",28,85.11,13.97
11110FL 204105,初級德語一,Beginning German I 	,"郭春長 KUO, CHUN-CHANG",38,85.97,8.13
11110FL 204106,初級德語一,Beginning German I 	,"韓珮雯 HAN, PEI-WEN",37,80.46,19.42
11110FL 204107,初級德語一,Beginning German I 	,"韓珮雯 HAN, PEI-WEN",33,78.06,17.51
11110FL 204108,初級德語一,Beginning German I 	,"韓珮雯 HAN, PEI-WEN",30,83.57,15.38
11110FL 204109,初級德語一,Beginning German I 	,"韓珮雯 HAN, PEI-WEN",33,84.94,10.51
11110FL 209000,圖像文學,Graphic Literature 	,"李書雨 LEE, SHU-YU",21,3.62,0.65
11110FL 213700,十八世紀文學,Eighteenth-Century Literature 	,"陳皇華 CHEN, HUANG-HUA",45,3.91,0.50
11110FL 300301,閱讀與寫作二(上),Reading & Writing II (1) 	,"傅士珍 FUH, SHYH-JEN",12,3.84,0.28
11110FL 300302,閱讀與寫作二(上),Reading & Writing II (1) 	,"黃虹慈 HUANG, HUNG-TZU",16,3.87,0.26
11110FL 300303,閱讀與寫作二(上),Reading & Writing II (1) 	,"李書雨 LEE, SHU-YU",18,3.86,0.32
11110FL 300501,中級日語一,Intermediate Japanese I 	,"真武薰 KAORU MATAKE",13,87.92,7.28
11110FL 300502,中級日語一,Intermediate Japanese I 	,"簡嘉菁 CHIEN, CHIA-CHING",38,3.94,0.81
11110FL 300503,中級日語一,Intermediate Japanese I 	,"張鈞竹 CHANG,CHUN-CHU",37,3.48,0.99
11110FL 300504,中級日語一,Intermediate Japanese I 	,"陳曉貞 CHEN, HSIAO-CHEN",28,89.57,6.68
11110FL 300505,中級日語一,Intermediate Japanese I 	,"簡嘉菁 CHIEN, CHIA-CHING",41,3.98,0.71
11110FL 300506,中級日語一,Intermediate Japanese I 	,"周雅玲 CHOU, YA-LING",37,82.62,10.23
11110FL 300507,中級日語一,Intermediate Japanese I 	,"王佑心 WANG, YU-HSIN",25,4.08,0.48
11110FL 300508,中級日語一,Intermediate Japanese I 	,"王瑋婷 WANG, WEI-TING",42,88.98,7.89
11110FL 300509,中級日語一,Intermediate Japanese I 	,"廖紋淑 LIAO, WEN-SHU",24,87.25,8.91
11110FL 300701,中級法語一,Intermediate French I 	,"廖含潔 LIAO, HAN-CHIEH",13,85.23,7.94
11110FL 300702,中級法語一,Intermediate French I 	,"石秋燕 SHIH, CHIU-YEN",12,94.33,3.99
11110FL 300901,中級德語一,Intermediate German I 	,"郭春長 KUO, CHUN-CHANG",15,87.60,6.75
11110FL 300902,中級德語一,Intermediate German I 	,"郭春長 KUO, CHUN-CHANG",26,84.19,13.30
11110FL 304400,社會語言學導論,Introduction to Sociolinguistics 	,"張銪容 CHANG, YU-JUNG",29,3.40,1.03
11110FL 305900,雙語網頁設計,Bilingual Web Design 	,"陳宗穎 CHEN, TSUNG-YING",9,3.58,0.66
11110FL 308700,中英翻譯習作,English-Chinese Translation Practice 	,"陳國華 CHEN, KUO-HUA",13,75.23,4.23
11110FL 309000,財經英文閱讀,English Reading for Finance and Economics 	,"黃伊岑 HUANG, I-TSEN",14,3.79,0.70
11110FL 310000,心理語言學導論,Introduction to Psycholinguistics 	,"蘇怡如 SU, I-RU",10,74.80,6.94
11110FL 310100,第二語言習得,Second Language Acquisition 	,"黃虹慈 HUANG, HUNG-TZU",28,4.11,0.22
11110FL 310200,語言與大腦,Language and the Brain 	,"楊梵孛 YANG, FAN-PEI",8,4.03,0.31
11110FL 327100,日語會話一,Japanese Conversation I 	,"簡嘉菁 CHIEN, CHIA-CHING",21,3.81,0.91
11110FL 327300,日語聽解一,Japanese Listening I 	,"簡嘉菁 CHIEN, CHIA-CHING",24,92.21,3.39
11110FL 327700,中級法語會話一,Intermediate French Conversation I 	,"廖含潔 LIAO, HAN-CHIEH",24,85.50,4.78
11110FL 328001,初級韓語一,Beginning Korean I 	,"韓京惪 HAN KYUNG DUK",25,82.60,14.68
11110FL 328002,初級韓語一,Beginning Korean I 	,"韓京惪 HAN KYUNG DUK",31,81.94,9.04
11110FL 328003,初級韓語一,Beginning Korean I 	,"韓京惪 HAN KYUNG DUK",36,81.33,11.62
11110FL 328004,初級韓語一,Beginning Korean I 	,"韓京惪 HAN KYUNG DUK",25,79.28,17.90
11110FL 328005,初級韓語一,Beginning Korean I 	,"韓京惪 HAN KYUNG DUK",30,81.97,18.59
11110FL 328006,初級韓語一,Beginning Korean I 	,"韓京惪 HAN KYUNG DUK",31,84.81,11.39
11110FL 328007,初級韓語一,Beginning Korean I 	,"李伶美 LEE, YEONG MI",26,3.39,1.21
11110FL 328008,初級韓語一,Beginning Korean I 	,"李伶美 LEE, YEONG MI",38,3.14,1.41
11110FL 328101,中級韓語一,Intermediate Korean I 	,"韓京惪 HAN KYUNG DUK",8,85.75,7.00
11110FL 328102,中級韓語一,Intermediate Korean I 	,"韓京惪 HAN KYUNG DUK",15,88.33,5.44
11110FL 341600,二十世紀英國文學,British Literature in the Twentieth-Century 	,"林宜莊 LIN, YI-CHUANG",10,74.80,25.65
11110FL 342400,中級德語會話一,Intermediate German Conversation I 	,"韓珮雯 HAN, PEI-WEN",13,92.15,3.23
11110FL 343100,日語聽解三,Japanese Listening III 	,"周雅玲 CHOU, YA-LING",11,84.36,6.36
11110FL 343400,日語會話三,Japanese Conversation III 	,"真武薰 KAORU MATAKE",16,91.00,4.92
11110FL 344500,從《哈利波特》學英文,English Language Skills with Harry Potter 	,"柯安娜 JOHANNA KATCHEN",29,85.62,8.46
11110FL 350100,魯濱遜漂流記：全球脈絡下的多重文本,Robinson Crusoe: A Multilayered Text in Global Contexts 	,"紀元文 CHI, YUAN-WEN",28,91.11,6.29
11110FL 402500,高級韓語一,Advanced Korean I 	,"韓京惪 HAN KYUNG DUK",11,87.82,4.06
11110FL 403900,高級法語一,Advanced French I 	,"廖含潔 LIAO, HAN-CHIEH",10,87.80,5.10
11110FL 404400,中級西班牙語一,Intermediate Spanish I 	,"張雅鈴 CHANG, YEA-LING",9,3.99,0.31
11110FL 404401,中級西班牙語一,Intermediate Spanish I 	,"張雅鈴 CHANG, YEA-LING",16,3.68,1.01
11110FL 404701,高級日語一,Advanced Japanese I 	,"真武薰 KAORU MATAKE",21,84.76,8.70
11110FL 404702,高級日語一,Advanced Japanese I 	,"張鈞竹 CHANG,CHUN-CHU",30,3.42,1.00
11110FL 404703,高級日語一,Advanced Japanese I 	,"藤井康子 FUJII YASUKO",39,88.87,3.98
11110FL 404900,日語閱讀一,Japanese Reading I 	,"周雅玲 CHOU, YA-LING",15,84.47,5.95
11110FL 405100,日語寫作一,Japanese writing 1 	,"藤井康子 FUJII YASUKO",16,87.38,1.58
11110FL 405400,中級西班牙語會話一,Intermediate Spanish Conversation I 	,"鄭雲英 CHENG, YUN-YING",7,89.29,1.16
11110FL 407100,高級德語一,Advanced German I 	,"郭春長 KUO, CHUN-CHANG",9,88.78,5.09
11110FL 416500,口譯,Oral Interpretation 	,"黃嘉瑜 HUANG, CHIA-YU",13,82.46,5.65
11110FL 420700,美國文學-1865年之前,American Literature before 1865 	,"傅士珍 FUH, SHYH-JEN",6,3.38,0.98
11110FL 420800,高級西班牙語一,Advanced Spanish I 	,"張雅鈴 CHANG, YEA-LING",7,4.13,0.22
11110FL 421100,商用日語一,Business Japanese I 	,"簡嘉菁 CHIEN, CHIA-CHING",11,89.82,5.11
11110FL 421300,新聞日語一,News Japanese I 	,"簡嘉菁 CHIEN, CHIA-CHING",10,91.20,5.04
11110FL 500100,書目學與研究方法,Bibliography and Research Method 	,"陳皇華 CHEN, HUANG-HUA",5,4.06,0.12
11110FL 513700,後現代小說,Postmodern Novel 	,"林宜莊 LIN, YI-CHUANG",7,79.29,12.66
11110FL 520100,文學理論,Literary Theory 	,"吳建亨 WU, CHIEN-HENG",5,4.00,0.00
11110FL 525000,生物體與社會體：二十世紀戲劇、醫療與倫理,Bio and social communities: Drama, medicine and ethics in the 20th century 	,"黃仕宜 HUANG, SHIH-YI",6,84.00,2.31
11110FL 560100,研究方法,Research Methods 	,"林惠芬 LIN, HUI-FEN",3,86.00,2.83
11110FL 571800,學科內容和語言的整合學習和全英語授課,Content and Language Integrated Learning (CLIL) and English-Medium Instruction (EMI) 	,"張寶玉 VIPHAVEE VONGPUMIVITCH",7,3.70,0.00
11110FL 582200,內隱與外顯語言學習,Implicit and Explicit Language Learning 	,"陳宗穎 CHEN, TSUNG-YING",9,3.63,0.52
11110GE 100800,現代散文選讀,Studies in Modern Prose 	,"黃雅莉 HUANG, YA-LI",40,83.68,15.14
11110GE 101200,工業4.0與發展趨勢概論,Introduction to the development trend of the Industry 4.0 	,"陳德鴻 CHEN, TE-HUNG, 曾仕君 TSENG, SHIH-CHUN",59,86.27,11.47
11110GE 101300,東亞地區的宗教與政治,The Interrelation between Religion and Politics in East Asia 	,"李文政 LEE,WEN-CHENG",19,72.63,22.57
11110GE 102200,現代科技的應用、風險與福祉,Applications, Risks and Benefits of Modern Technologies 	,"林基興 LIN, JI-SHING",76,84.93,15.51
11110GE 103600,中國音樂概論,Chinese Music Introduction 	,"林心智 LIN, HSIN-CHIH",67,89.39,1.42
11110GE 106600,設計繪畫,Design Drawing 	,"連正宏 LIEN, CHENG-HUNG",12,4.10,0.14
11110GE 107200,中藥與近代科技,Chinese Herbology and Modern Sciences & Technologies 	,"張翔 CHANG, SHYANG, 陳瑞凱 CHEN, SWE-KAI",61,83.92,12.55
11110GE 107600,繪畫創作,Painting Creation 	,"連正宏 LIEN, CHENG-HUNG",18,3.92,0.38
11110GE 108200,從日常到科幻的有趣物理學,Interesting physics from daily life to scientific fantasies 	,"鄭宜帆 CHENG, YI-FAN",49,78.33,15.59
11110GE 108600,基礎素描,Element of Art 	,"唐唐發 TANG, TANG-FA",19,3.80,0.36
11110GE 109601,陶藝製作,Clay Work 	,"吳建福 WU, CHIEN-FU",27,82.22,16.41
11110GE 109602,陶藝製作,Clay Work 	,"吳建福 WU, CHIEN-FU",26,85.00,1.39
11110GE 111300,百年來的中華民國對外關係,Foreign Relations of Republic of China, 1912-now 	,"張棋炘 CHANG, CHI-SHIN",46,86.52,10.87
11110GE 112800,世界古文明,History of Ancient World Civilization 	,"陳冠穎 CHEN, KUAN-YING",54,76.98,15.71
11110GE 113500,媒體影響與社會問題,Media Effects and Social Problems 	,"簡立易 CHIEN, LI-YI",30,3.47,1.16
11110GE 114600,現代藝術創作專題,Art Project 	,"林甫珊 LIN, FU-SHAN",20,3.60,0.30
11110GE 114800,城市與文學,City and literature 	,"蔣興立 CHIANG, HSIN-LI",37,88.11,9.53
11110GE 115100,認識真菌,Knowing Fungi 	,"陳復琴 CHEN, FU-CHIN",58,3.64,0.73
11110GE 115600,水墨技法與美學：山水畫,Techniques and Aesthetics of Ink Painting: Landscape Painting 	,"袁慧莉 YUAN, HUI-LI",14,4.04,0.29
11110GE 115800,台灣當代戲曲,Taiwan Contemporary Xiqu 	,"吳岳霖 WU, YUE-LIN",63,4.10,0.56
11110GE 116800,俄國史,Russian History 	,"何萍 HO, PING",22,89.09,4.11
11110GE 117300,中亞國際關係,Central Asia: Politics and Society and Contested Powers 	,"侍建宇 SHIH, CHIEN-YU",54,79.94,16.06
11110GE 118300,中東地區研究,The Research of Middle East Region 	,"葉長城 YEH, CHANG-CHEN",41,78.17,13.70
11110GE 118600,台灣民謠與文化,Taiwanese Folk Songs and Culture 	,"簡上仁 CHIEN, SHANG-JEN",61,77.72,9.48
11110GE 119600,版畫實驗,Print Making 	,"林甫珊 LIN, FU-SHAN",23,3.45,0.79
11110GE 119800,十八世紀英國的藝術與社會,Introduction to Eighteenth-century English Art and Society 	,"蕭智尹 HSIAO, CHIH-YIN",39,3.97,0.29
11110GE 120601,油畫,Oil Painting 	,"唐唐發 TANG, TANG-FA",20,3.72,0.55
11110GE 120602,油畫,Oil Painting 	,"唐唐發 TANG, TANG-FA",18,3.61,0.62
11110GE 122100,環保與生活,Environmental Protection and Life 	,"杜明進 TU, MING-CHIN",86,82.53,7.80
11110GE 122600,音樂賞析二,Appreciation of Music (II) 	,"彭文几 PERNG, WEN-JI",39,3.89,0.37
11110GE 123300,身心障礙理論與權益,The Introduction of Disability and Civil Rights 	,"黃國晏 HUANG, KUO-YEN",49,4.05,0.74
11110GE 123600,世界音樂文化導論,Introduction to World Music 	,"趙慧璿 CHAO, HUI-HSUAN",24,3.50,0.88
11110GE 124500,行銷管理,Marketing Management 	,"洪淑芳 HUNG, SHU-FANG",94,89.11,3.92
11110GE 125600,中國器樂賞析,Chinese Instrumental Music Appreciation 	,"林心智 LIN, HSIN-CHIH",68,88.22,2.04
11110GE 125700,聖經與人生,Bible and Life 	,"麥偉基 MAK WAI KEI, 李哲榮 LEE, CHE-RUNG, 王道維 WANG, DAW-WEI, 蔡仁松 TSAY, REN-SONG",28,81.29,10.57
11110GE 126300,美國政治,American Politics 	,"嚴震生 YEN, CHEN-SHEN",30,2.69,1.23
11110GE 128400,人類語言的奧秘,The Mystery of Human Languages 	,"蘇宜青 SU, YI-CHING",57,84.58,8.95
11110GE 128601,插畫技法與運用,Drawing skills and application 	,"林鴻堯 LIN, HUNG-YAO",20,3.67,0.66
11110GE 128602,插畫技法與運用,Drawing skills and application 	,"林鴻堯 LIN, HUNG-YAO",19,3.66,0.89
11110GE 129400,空間的社會與文化分析,Social and Cultural Analysis of Space 	,"吳哲良 WU, CHE-LIANG",21,4.01,0.35
11110GE 130300,創傷與社會,Trauma and Society 	,"蔣興儀 CHIANG, HSING-YI",27,86.59,6.83
11110GE 130500,電視製作的理論與實務,Television Production 	,"曾行宜 TSENG, HSING-I",44,92.20,6.03
11110GE 131800,現代詩選讀,Chinese Modern Poetry 	,"陳柏伶 CHEN, PO-LING",49,3.98,0.27
11110GE 132300,國際時事與英語溝通,Current Events & English Communication 	,"嚴震生 YEN, CHEN-SHEN",23,3.23,0.64
11110GE 132800,中國神話故事選讀,Selective Readings for "The Chinese Mythology" 	,"陳燕梅 CHEN, YEN-MEI",59,92.83,10.19
11110GE 134100,上山下海看台灣地質歷史,Field observations of Taiwan's geological history 	,"游能悌 YU, NENG-TI",33,88.85,5.69
11110GE 134500,廣告學概論,Introduction to Advertising 	,"蒯亮 LIANG, KUAI",31,82.32,7.24
11110GE 134600,電影配樂發展史與風格賞析,The History of Film Scoring--Analysis and Development 	,"邱亭雅 CHIU, TING-YA",63,87.63,5.30
11110GE 135600,歌劇欣賞--威爾第,Opera Appreciation -Verdi 	,"彭文几 PERNG, WEN-JI",47,3.99,0.30
11110GE 136500,高科技人力資源管理--基礎與實務應用,Human Resource Management-- fundamentals and Practice 	,"洪淑芳 HUNG, SHU-FANG",83,87.52,3.47
11110GE 137300,歐洲政府與政治,European Governments and Politics 	,"張福昌 CHANG, FU-CHANG",43,84.33,11.89
11110GE 137500,職場溝通學,Business Communications 	,"彭冠宇 PENG, KUAN-YU",90,4.20,0.28
11110GE 137600,除魅與欲望：英文愛情小說導讀,Disenchantment and Desire: Introduction to the Romance Novel 	,"陳麒方 CHEN, CHI-FANG",33,3.60,0.82
11110GE 138200,繽紛海洋生命,Introduction to Marine Life 	,"楊樹森 YANG, SHU-SEN",50,76.70,8.87
11110GE 139400,性別思考,Gender Thinking 	,"陸品妃 LU, PIN-FEI",30,3.92,0.28
11110GE 140400,遊戲與動漫導論,An Introduction of Game and Anime 	,"梁世佑 LIANG, SHIH-YU",89,83.55,6.64
11110GE 140500,產業創新與生涯探索,Industry Innovation and Career development 	,"李佳玫 LI, CHIA-MEI, 商雅婷 SHANG, YA-TING, 蔡協亨 TSAI, HSIEH-HENG",105,4.10,0.30
11110GE 140601,產品設計與實作,Product design and Practice 	,"黃致傑 HUANG Chih-Chieh",8,89.00,2.45
11110GE 140602,產品設計與實作,Product design and Practice 	,"巫銘紘 WU, MING HONG",10,88.40,2.94
11110GE 141300,消費者保護之理論與實務,The Theory and Practice of Consumer Protection Law 	,"靳邦忠 ",77,85.61,11.22
11110GE 141800,旅溯雙城：台南與新竹的自然與人文,A Brief Fieldwork to Tainan and Hsinchu’s Nature and Histories 	,"游能悌 YU, NENG-TI, 張繼瑩 CHANG, CHI-YING",18,4.30,0.00
11110GE 143800,認識甲骨文字與古代中國文化,Oracle Bone Scripts and Ancient Chinese Culture 	,"江柏毅 CHIANG, PO-YI",40,3.71,0.57
11110GE 144300,恐怖主義與反恐,Terrorism and Anti-Terrorism 	,"侍建宇 SHIH, CHIEN-YU",60,78.62,15.80
11110GE 144400,愛情關係的發展與經營,Development and management of love relationship 	,"楊雅婷 YANG, YA-TING",54,85.33,9.17
11110GE 144800,塹城生活文史調查,Fieldwork for Culture and History in Hsinchu 	,"張繼瑩 CHANG, CHI-YING, 徐淑賢 HSU,SHU-HSIEN",14,4.24,0.12
11110GE 145800,近世旅行史,Travel History of Pre-modern World 	,"吳雅婷 WU, YA-TING",32,83.53,7.64
11110GE 149300,認識著作權,Learning the Rules of Taiwan's Copyright Law 	,"胡中瑋 HU, CHUNG-WEI",48,86.50,5.80
11110GE 150300,國家責任與賠償,Country Liability and Compensation 	,"許宏達 HSU, HUNG-TA",111,4.20,0.19
11110GE 152400,印度文化概論,Introduction to Indian Culture 	,"董玉莉 TUNG, YU-LI",28,3.82,0.41
11110GE 154200,系統思維學統計,Learning Statistics vis System Thinking 	,"桑慧敏 SONG, WHEYMING",43,4.11,0.36
11110GE 154400,弗洛伊德與精神分析,Freud and Psychoanalysis 	,"高榮禧 KAO, JUNG-HSI",134,83.69,11.17
11110GE 154600,策展理論與實務,Organizing Art Exhibitions :Theory and Practices 	,"賴小秋 LAI, HSIAO-CHIU",17,86.53,4.45
11110GE 155600,公共藝術賞析,Public Art 	,"賴小秋 LAI, HSIAO-CHIU",85,83.33,5.65
11110GE 157600,建築文化與社會,ON ARCHITECTURE, its cultural characters and social significances 	,"林洵可 LIN, SHYUN-KEE",42,3.53,0.44
11110GE 158400,當代國際議題研究,Current important issues in international Relations 	,"方天賜 FANG, TIEN-SZE",53,84.70,5.88
11110GE 158600,戲劇表演,Theatre acting 	,"安原良 AN, YUAN-LIANG",17,3.67,0.95
11110GE 160200,元宇宙與科技創新,Technology Innovation and the Metaverse 	,"葛如鈞 KO,JUCHUN",61,87.72,7.65
