Course ID,Cource Chinese Name,Course English Name,Teacher Chinese Name,Teacher English Name,Max Student Number,GPA,Standard Deviation
11120BME 503100,重點照護檢驗,Point-of-Care Diagnostics 	,"鄭兆珉 CHENG, CHAO-MIN",3,93.00,0.00
11120BME 503200,再生醫學與組織工程,Regenerative medicine and tissue engineering 	,"黃玠誠 HUANG, CHIEH-CHENG",25,4.12,0.84
11120BME 503400,分子生醫影像導論,Introduction to Molecular Imaging 	,"魯才德 LU, TSAI-TE",5,88.80,3.43
11120BME 504300,磁性生醫材料,Magnetic Biomaterial 	,"魯才德 LU, TSAI-TE",5,86.60,2.06
11120BME 504700,生醫感測數值統計分析,Biomedical sensing technology and statistical analysis 	,"林幸瑩 LIN, HSING-YING",6,92.83,2.19
11120BME 505000,細胞治療特論,Special topics in cell therapy 	,"黃玠誠 HUANG, CHIEH-CHENG",3,4.30,0.00
11120BMES112200 生命科學導論,Introduction,to Life Science 	,"莊淳宇 CHUANG, CHUN-YU",23,78.91,9.69
11120BMES211200 工程數學二,Engineering,Mathematics II 	,"劉耕谷 LIU, KENG-KU",41,72.61,16.44
11120BMES224200 電磁學,Electromagnetism,	,"林曉均 Lin, Hsiao Chun",27,81.93,8.25
11120BMES225200 有機化學二,Organic,Chemistry (II) 	,"俞鐘山 YU, CHUNG-SHAN",18,72.89,10.19
11120BMES232200 分析化學一,Analytical,Chemistry (I) 	,"李亦淇 LEE, I-CHI",4,82.50,6.58
11120BMES240200 計算機概論與程式語言,Introduction,to Computer Science and Programming Language 	,"彭旭霞 PENG, HSU-HSIA",17,85.65,5.51
11120BMES318200 專題研究二,Research,on special topics(Ⅱ) 	,"指導教授 ",22,4.16,0.35
11120BMES323401 生物與材料實驗,Biology,and Biomedical Materials Laboratory 	,"莊淳宇 CHUANG, CHUN-YU",22,85.23,11.24
11120BMES323402 生物與材料實驗,Biology,and Biomedical Materials Laboratory 	,"劉耕谷 LIU, KENG-KU",16,88.25,8.00
11120BMES325100 生理解剖學,Human,Anatomy and Physiology 	,"柯美蘭 KO, MEI-LAN",49,77.24,10.76
11120BMES325300 光學,Optics,	,"陳之碩 CHEN, CHI-SHUO",14,79.43,11.12
11120BMES326200 生物化學二,Biochemistry,II 	,"江啓&# CHIANG, CHI-SHIUN",17,76.41,9.54
11120BMES411200 書報討論,Seminar,	,"朱麗安 CHU, LI-AN",14,90.00,4.23
11120BMES418200 專題研究四,Undergraduate,Research (IV) 	,"指導教授 ",5,4.18,0.15
11120BMES424200 分子遺傳學,Molecular,Genetics 	,"張建文 CHANG, CHIEN-WEN",18,76.00,15.34
11120BMES424400 生醫高分子導論,Introduction,of Biomedical Polymer 	,"胡尚秀 HU, SHANG-HSIU",29,86.90,6.44
11120BMES432200 全球暖化與環境衝擊,Global,Warming and Environmental Impact 	,"鍾堅 CHUNG, CHIEN",105,77.25,15.05
11120BMES500000 專題演講,Colloquium,	,"張建文 CHANG, CHIEN-WEN, 王廷瑋 WANG, TING-WEI",92,82.58,2.95
11120BMES511201 書報討論(一)-分子生醫工程與材料,Seminar(I)：Molecular,Biomedical Engineering and Materials 	,"張建文 CHANG, CHIEN-WEN",22,87.32,2.70
11120BMES511203 書報討論(一)-生醫影像工程,Seminar(I)：Biomedical,Imaging Engineering 	,"王廷瑋 WANG, TING-WEI",10,90.70,1.00
11120BMES512200 碩士班專題研究二,MS,Graduate Research (II) 	,"指導教授 ",34,4.17,0.27
11120BMES522100 生醫光電基礎,Fundamentals,of Biophotonics 	,"陳之碩 CHEN, CHI-SHUO",3,4.00,0.00
11120BMES525100 藥物控制釋放,Drug,Controlled Release 	,"邱信程 CHIU, HSIN-CHENG",24,86.08,9.21
11120BMES526600 生醫高分子應用,Polymer,for Bio-Applications 	,"胡尚秀 HU, SHANG-HSIU",27,85.89,6.15
11120BMES527400 生醫流行病與環境毒理學,Biomedical,Epidemiology and Environmental Toxicology 	,"莊淳宇 CHUANG, CHUN-YU",17,89.41,7.52
11120BMES528400 分子影像藥物,Molecular,Imaging Pharmaceuticals 	,"張智偉 CHANG, CHIH-WEI",11,90.09,10.81
11120BMES531600 生醫電學,Biomedical,Electronics 	,"王廷瑋 WANG, TING-WEI",26,88.96,5.13
11120BMES532400 醫學影像實務,Medical,Imaging in Practice 	,"阮春榮 JUAN, CHUN-JUNG",12,87.67,8.91
11120BMES542400 幹細胞與組織工程,Stem,Cell and Tissue Engineering 	,"張建文 CHANG, CHIEN-WEN",10,83.10,11.88
11120BMES546600 數位生物醫學顯微影像技術,Digital,biomedical microscopy technology 	,"朱麗安 CHU, LI-AN",11,89.09,5.90
11120BMES547500 深度學習之生醫影像分析,Deep,Learning in Biomedical Image Analysis 	,"許靖涵 HSU, CHING-HAN",30,90.23,1.71
11120BMES611201 書報討論(二)-分子生醫工程與材料,Seminar(II)：Molecular,Biomedical Engineering and Materials 	,"張建文 CHANG, CHIEN-WEN",21,88.05,3.02
11120BMES611203 書報討論(二)-生醫影像工程,Seminar(II)：Biomedical,Imaging Engineering 	,"王廷瑋 WANG, TING-WEI",16,91.31,2.26
11120BMES711200 專題書報討論,Seminar,	,"莊淳宇 CHUANG, CHUN-YU",23,92.78,4.85
11120BMES712200 博士班專題研究二,PhD,Graduate Research (II) 	,"指導教授 ",9,4.23,0.19
11120CHE 114001,質能均衡,Material and Energy Balance 	,"沈若樸 SHEN, CLAIRE-ROAPU",41,80.76,11.79
11120CHE 114002,質能均衡,Material and Energy Balance 	,"宋信文 SUNG, HSING-WEN",36,3.55,0.85
11120CHE 212001,工程數學二,Engineering Mathematics II 	,"呂世源 LU, SHIH-YUAN",29,71.62,16.06
11120CHE 212002,工程數學二,Engineering Mathematics II 	,"周鶴修 CHOU, HO-HSIU",40,3.57,0.84
11120CHE 240100,資訊系統應用,Computer Systems & Applications 	,"林昆翰 LIN, KUN-HAN",74,3.81,0.84
11120CHE 242001,物理化學二,Physical Chemistry (II) 	,"堀江正樹 MASAKI HORIE",29,81.93,20.52
11120CHE 242002,物理化學二,Physical Chemistry (II) 	,"王潔 WANG, JANE",31,85.23,8.04
11120CHE 305001,程序控制,Process Control 	,"鄭西顯 JANG, SHI-SHANG",35,81.83,16.94
11120CHE 305002,程序控制,Process Control 	,"林育正 YU-JENG LIN",39,78.72,16.41
11120CHE 306001,化工單操,Chemical Engineering Unit Operations 	,"汪上曉 WONG, SHANG-HSIAO",34,86.71,6.98
11120CHE 306002,化工單操,Chemical Engineering Unit Operations 	,"林育正 YU-JENG LIN",35,83.11,10.30
11120CHE 353001,輸送現象及單元操作二,Transport Phenomena and Unit Operations(II) 	,"黃振煌 HUANG, JEN-HUANG",29,82.17,9.29
11120CHE 353002,輸送現象及單元操作二,Transport Phenomena and Unit Operations(II) 	,"陳信龍 CHEN, HSIN-LUNG",38,81.84,12.58
11120CHE 373000,基礎高分子科學,Fundamental Polymer Science 	,"劉英麟 LIU, YING-LING, 何榮銘 HO, RONG-MING",29,80.59,15.88
11120CHE 431200,電子構裝技術與材料,Electronic Packaging technology and materials 	,"陳信文 CHEN, SINN-WEN",16,84.25,11.30
11120CHE 494000,光電材料與元件基礎,Fundamentals of Optoelectronic Materials and Devices 	,"段興宇 TUAN, HSING-YU, 林昆翰 LIN, KUN-HAN",39,79.49,13.54
11120CHE 495000,專題研究一,Research on special topics 	,"指導教授 ",41,4.30,0.00
11120CHE 496000,專題研究二,Research on special topics(Ⅱ) 	,"指導教授 ",5,4.30,0.00
11120CHE 500200,分子工程二,Molecular Engineering (II) 	,"周鶴修 CHOU, HO-HSIU",17,3.94,0.30
11120CHE 505000,高等輸送現象,Advanced Transport Phenomena 	,"潘詠庭 PAN, YUNG-TIN",4,86.00,3.54
11120CHE 508000,化工原理二,Chemical Engineering Principles (II) 	,"段興宇 TUAN, HSING-YU, 楊東翰 YANG, TUNG-HAN",18,88.17,8.59
11120CHE 510000,書報討論,Seminar 	,"蔡德豪 TSAI, DE-HAO",123,86.24,8.61
11120CHE 512000,電化學分析技術與應用,Electrochemical Analytical Techniques and Applications 	,"胡啟章 HU, CHI-CHANG",24,4.00,0.33
11120CHE 512100,石油化學工業,Petroleum Chemistry 	,"谷家嵩 ",49,3.71,0.62
11120CHE 512500,實驗設計與品質工程,Experimental Design and Quality Engineering 	,"胡啟章 HU, CHI-CHANG",18,3.84,0.45
11120CHE 515200,化學產品創意設計,Creative Design and Development of Chemical Products 	,"盧詩磊 ",52,86.02,2.62
11120CHE 518000,高分子生物材料,Macromolecules as Biomaterials 	,"王潔 WANG, JANE",19,84.89,6.11
11120CHE 524000,數據科學與決策科技,Data Science and Decision Technology 	,"張良志 CHANG, LIANG-JYH",26,3.41,0.92
11120CHE 545200,高分子分析技術,Polymer Characterization 	,"何榮銘 HO, RONG-MING",10,81.40,10.04
11120CHE 545500,熱固性高分子特論,Crosslinked and Thermosetting Polymers 	,"劉英麟 LIU, YING-LING",6,3.88,0.36
11120CHE 546500,高等高分子物理,Special Topics in Condensed Polymer Physics 	,"陳信龍 CHEN, HSIN-LUNG",6,85.83,4.56
11120CHE 555000,膠體界面科學與科技特論,Introduction to Colloid and Interface Science & Technology 	,"蔡德豪 TSAI, DE-HAO",25,89.32,4.04
11120CHE 575000,材料相平衡,Phase Equilibria of Materials 	,"陳信文 CHEN, SINN-WEN",7,85.29,10.08
11120CHE 576000,金屬奈米材料,Metal Nanomaterials 	,"楊東翰 YANG, TUNG-HAN",32,85.56,6.53
11120CHE 582000,電化學能源,Electrochemical Energy Storage and Conversion 	,"衛子健 WEI, TZU-CHIEN",63,87.76,5.47
11120CHE 589000,工業微生物學,Industrial Microbiology 	,"朱一民 CHU, I-MIN",34,88.38,3.15
11120CHE 590000,分子生物技術,Molecular Biotechnology 	,"胡育誠 HU, YU-CHEN",13,84.38,24.56
11120CHEM102001 普通化學二,General,Chemistry (II) 	,"洪嘉呈 HORNG, JIA-CHERNG",138,61.43,20.02
11120CHEM102002 普通化學二,General,Chemistry (II) 	,"陳益佳 CHEN, I-CHIA",147,67.97,19.11
11120CHEM102003 普通化學二,General,Chemistry (II) 	,"黃國柱 HWANG, KUO-CHU",166,68.30,13.91
11120CHEM102004 普通化學二,General,Chemistry (II) 	,"游靜惠 YU, CHIN-HUI",8,2.71,1.06
11120CHEM103001 普通化學實驗一,General,Chemistry Laboratory (I) 	,"廖翊雅 LIAO, YI-YA",59,78.07,6.03
11120CHEM103002 普通化學實驗一,General,Chemistry Laboratory (I) 	,"廖翊雅 LIAO, YI-YA",62,81.95,6.44
11120CHEM104001 普通化學實驗二,General,Chemistry Laboratory (II) 	,"廖翊雅 LIAO, YI-YA",56,85.64,5.28
11120CHEM104002 普通化學實驗二,General,Chemistry Laboratory (II) 	,"廖翊雅 LIAO, YI-YA",54,78.06,5.95
11120CHEM104003 普通化學實驗二,General,Chemistry Laboratory (II) 	,"廖翊雅 LIAO, YI-YA",31,84.16,6.23
11120CHEM104004 普通化學實驗二,General,Chemistry Laboratory (II) 	,"廖翊雅 LIAO, YI-YA",48,81.17,7.78
11120CHEM104005 普通化學實驗二,General,Chemistry Laboratory (II) 	,"廖翊雅 LIAO, YI-YA",63,87.78,5.35
11120CHEM104006 普通化學實驗二,General,Chemistry Laboratory (II) 	,"廖翊雅 LIAO, YI-YA",60,79.93,6.10
